search_string,unique_name,approximate_match,ott_id,is_synonym,flags,number_matches,corrected_name
galago cameronensis,Galago gabonensis,TRUE,323060,FALSE,,1,Sciurocheirus_alleni
galago gabonensis,Galago gabonensis,FALSE,323060,FALSE,,1,Sciurocheirus_gabonensis
galago granti,Galago granti,FALSE,323055,FALSE,,1,Galagoides_granti
galeopterus variegates,Galeopterus variegates,FALSE,3607464,FALSE,,1,Galeopterus_variegatus
galerella flavescens,Galerella flavescens,FALSE,3613283,FALSE,,1,Herpestes_flavescens
galerella pulverulenta,Galerella pulverulenta,FALSE,658638,FALSE,,1,Herpestes_pulverulentus
galerella sanguinea,Galerella sanguinea,FALSE,750158,FALSE,,1,Herpestes_sanguineus
gerbillus garamantis,Gerbillus garamantis,FALSE,3608942,FALSE,,1,NOTFOUND
gerbillus mauritaniae,Gerbillus mauritaniae,FALSE,3608946,FALSE,,1,NOTFOUND
gerbillus syrticus,Gerbillus syrticus,FALSE,3608941,FALSE,,1,NOTFOUND
gerbillus vivax,Gerbillus vivax,FALSE,3608968,FALSE,,1,NOTFOUND
gracilinanus formosus,Gracilinanus formosus,FALSE,3606699,FALSE,,1,NOTFOUND
grammomys poensis,Grammomys poensis,FALSE,3608638,FALSE,,2,NOTFOUND
hemitragus hylocrius,Hemitragus hylocrius,FALSE,203064,FALSE,,1,NOTFOUND
herpestes edwardsi,Herpestes edwardsi,FALSE,5835568,FALSE,,1,Herpestes_edwardsii
hexaprotodon liberiensis,Hexaprotodon liberiensis,FALSE,662806,FALSE,,1,Choeropsis_liberiensis
hydrictis maculicollis,Hydrictis maculicollis,FALSE,310493,FALSE,,1,NOTFOUND
hydrochoeris hydrochaeris,Hydrochoeris hydrochaeris,FALSE,7654488,FALSE,,1,Hydrochoerus_hydrochaeris
hydrochoeris isthmius,Hydrochoeris isthmius,FALSE,3609897,FALSE,,1,Hydrochoerus_isthmius
hypsugo alaschanicus,Hypsugo alaschanicus,FALSE,709480,FALSE,,1,NOTFOUND
hypsugo anthonyi,Hypsugo anthonyi,FALSE,3613829,FALSE,,1,Pipistrellus_joffrei
hypsugo arabicus,Hypsugo arabicus,FALSE,3613869,FALSE,,1,Pipistrellus_arabicus
hypsugo ariel,Hypsugo ariel,FALSE,743480,FALSE,,1,Pipistrellus_ariel
hypsugo bodenheimeri,Hypsugo bodenheimeri,FALSE,3613837,FALSE,,1,Pipistrellus_ariel
hypsugo cadornae,Hypsugo cadornae,FALSE,626354,FALSE,,1,Pipistrellus_cadornae
hypsugo imbricatus,Hypsugo imbricatus,FALSE,3613840,FALSE,,1,Pipistrellus_imbricatus
hypsugo joffrei,Hypsugo joffrei,FALSE,3613846,FALSE,,1,Pipistrellus_joffrei
hypsugo kitcheneri,Hypsugo kitcheneri,FALSE,3613853,FALSE,,1,Pipistrellus_kitcheneri
hypsugo lophurus,Hypsugo lophurus,FALSE,3613863,FALSE,,1,Pipistrellus_lophurus
hypsugo macrotis,Hypsugo macrotis,FALSE,3613831,FALSE,,1,Pipistrellus_macrotis
hypsugo musciculus,Hypsugo musciculus,FALSE,3613836,FALSE,,1,Pipistrellus_musciculus
hypsugo pulveratus,Hypsugo pulveratus,FALSE,1022374,FALSE,,1,Pipistrellus_pulveratus
hypsugo savii,Hypsugo savii,FALSE,1080298,FALSE,,1,Pipistrellus_savii
lasiurus salinae,Lasiurus salinae,FALSE,3613713,FALSE,,1,Lasiurus_blossevillii
leopardus braccatus,Leopardus braccatus,FALSE,3613208,FALSE,,1,Leopardus_colocolo
lophuromys ansorgei,Lophuromys ansorgei,FALSE,3608593,FALSE,,1,NOTFOUND
lophuromys aquilus,Lophuromys aquilus,FALSE,3608587,FALSE,,1,Lophuromys_cinereus
lophuromys brunneus,Lophuromys brunneus,FALSE,3608596,FALSE,,1,NOTFOUND
lophuromys zena,Lophuromys zena,FALSE,3608592,FALSE,,1,NOTFOUND
loxodonta cyclotis,Loxodonta cyclotis,FALSE,418570,FALSE,,1,NOTFOUND
lutra nippon,Lutra nippon,FALSE,3612690,FALSE,,1,Lutra_lutra
